CLICKABILITY TESTS  Id,BCS CLICKABILITY Click Package Id,CLICK PACKAGES Shares,CLICK PACKAGES Clicks
564a00f9617ef0002a000090,564a00fc81e65b00240000be,0,0
56438ed3171e30002100026c,56438ed3171e300021000271,0,0
564f63b2f743a3002a000332,564f63b2f743a3002a000333,0,0
562a9333f98305002a00006d,562a9362f98305001c000067,0,0
565621717750dd002d000414,5656219dcb3ed0003000055f,0,0
563a44f3603afb0018000113,563cd930888761002c000287,0,0
56438ed3171e30002100026c,56438ed3171e300021000273,0,0
563d362f651ea2001b0000b3,563d363b651ea2001e0000cb,0,0
560e8f643605d300190000c4,56180b9fabe26f0018000028,0,0
564b9d5885758800210000b1,564ba1cb857588001e0000f1,0,0
564ba780857588001e00011c,564ba780857588001e00011d,0,0
564ba5a156b15a001e00013d,564e5b69f743a30024000115,0,0
5645031b25654500290000db,564638df133b2a003300001d,0,0
564654e7133b2a001e0000f1,564654e7133b2a001e0000f2,0,0
560bf49135326600251c0100,5617fc226530d4002d000205,0,0
56438ed3171e30002100026c,56438ed3171e30002100026f,0,0
562e6d2b84e4bf001f000167,562fb5b31a3da2001b00013f,0,0
56451beeab9ec70024000001,564537eade10960021000026,0,0
563d3889651ea200210000b9,563d3903f79d2500210000a9,0,0
56413043360a150029000032,56413043360a150029000033,0,0
564a18a7617ef000270000ca,564a193981e65b00330000db,0,0
560e8f643605d300190000c4,56180b9528d66b002a000033,0,0
56438ed3171e30002100026c,56438ed3171e30002100026d,0,0
5654d3fb1b96ef0018000184,5654d3fb1b96ef0018000185,0,0
56280fa11d5127002d000008,56280fa964fa270019000009,0,0
564ba780857588001e00011c,564ba817857588002a0000e8,0,0
5640d0941f76e000330000f3,564666c22e25e70018000129,0,0
561cfb9152d0550030000058,561d44197d3fee002d0000e8,0,0
564bb89c8575880030000101,564bb9d0dc68bb0023000001,0,0
561fb1ecd1de0e002d00004b,561fb1ecd1de0e002d00004c,0,0
56562c1dcb3ed0001e0004c2,56562c1dcb3ed0001e0004c3,0,0
56413043360a150029000032,5641306088ba7f0018000033,0,0
565383a468e72100240000df,5654d52b94e8500018000004,0,0
563a196e603afb0026000049,563a196e603afb002600004a,0,0
561ec5479fa9c10029000367,561ec5519fa9c1002d000286,0,0
565497fa514699001d000041,5654b6d81b96ef0029000060,0,0
565397a968e721002a000199,565397ae366b1c001b000157,0,0
561d79734253e6002d00012c,561d79766c67d40029000169,0,0
564b62d36b1b8000300001e1,564b62d36b1b8000300001e2,0,0
5655ef00cb3ed00032000216,56563334cb3ed0002d0004e1,0,0
560e8f643605d300190000c4,56180b9c28d66b002a000035,0,0
560eaec9da0598001f0001a6,560f09ac669fc600190000f8,0,0
56468c3c344df6001e000006,56468fe90f6db00023000007,0,0
563d154c651ea2001e00000a,563d15cbf79d25001b000011,0,0
564685200f6db0001800000a,564685200f6db0001800000f,0,0
5654d3fb1b96ef0018000184,5654d3fb1b96ef0018000189,0,0
564a00f9617ef0002a000090,564a00f9617ef0002a000091,0,0
564bb89c8575880030000101,564bb9a356b15a0024000140,0,0
56312b1a72e83d001800029c,56312b213c3b070027000298,0,0
5654d3fb1b96ef0018000184,5654d3fb1b96ef001800018b,0,0
564363f335095a0030000150,5643895c35095a003000023a,0,0
560bf49135326600251c0100,5617fc1f98f11e0021000223,0,0
564a00f9617ef0002a000090,564a018d81e65b002100009b,0,0
564b42b16b1b80002a00012d,564b7e91020476001b0002d5,0,0
56468c3c344df6001e000006,56468c61344df6001b000009,0,0
562831a21d5127003200002e,562831aa64fa27002b00002c,0,0
565cca3ba1738800230003ac,565cca49a17388002a000343,0,0
56451beeab9ec70024000001,56452cafde1096003200000d,0,0
561d79734253e6002d00012c,561d79734253e6002d00012d,0,0
565397a968e721002a000199,565397ab68e7210030000161,0,0
56394dc9189518001e000012,56394dc9189518001e000013,0,0
562fd2ef1191e1002100000f,562fd2f2062735001b000028,0,0
562fd2ef1191e1002100000f,562fd2ef1191e10021000010,0,0
5654bd381b96ef001e000099,5655c685cb3ed0002700007f,0,0
56461c1bde1096002d00028a,56461c2fde1096001b000233,0,0
564bb89c8575880030000101,564bb9b5857588002a000125,0,0
563a44f3603afb0018000113,563cda8b001beb00210002c2,0,0
56169e0b355f470030000143,5616a259438fd5001b00000d,0,0
563a44f3603afb0018000113,563cda7d888761003000026f,0,0
56549b85f84e510030000064,56549c53514699001d00006f,0,0
563d154c651ea2001e00000a,563d155df79d250026000009,0,0
56562c1dcb3ed0001e0004c2,56562c287750dd002a000508,0,0
563b7a4a99835f00210000f9,563be183888761001e00008f,0,0
5654da10edb4eb0021000036,56563ce1cb3ed0002d000510,0,0
564363f335095a0030000150,5643895a35095a0018000258,0,0
563cd280888761002300020d,563cd280888761002300020e,0,0
56423566360a15002d00021e,56423566360a15002d00021f,0,0
564a00f9617ef0002a000090,564a0102617ef0001e000092,0,0
563d3889651ea200210000b9,563d38f5f79d2500260000ea,0,0
563b7a4a99835f00210000f9,563be0f7001beb0018000093,0,0
563a44f3603afb0018000113,563cd9278887610023000244,0,0
564363f335095a0030000150,5643896335095a003000023c,0,0
564b98f256b15a001800006b,564b9b13857588002100008e,0,0
561ea0aac11f5500300001d8,561ea0ae9fa9c100230001d9,0,0
5640d0941f76e000330000f3,564666c52e25e7001e00011c,0,0
564a00f9617ef0002a000090,564a00fe81e65b001b0000b6,0,0
564bb89c8575880030000101,564bb9c22de5a6002d000000,0,0
560bf49135326600251c0100,5617fc196530d40033000220,0,0
564363f335095a0030000150,5643896035095a002a00025a,0,0
5654d3fb1b96ef0018000184,5654d3fb1b96ef0018000187,0,0
56169e0b355f470030000143,56169e0b355f470030000144,0,0
560bf49135326600251c0100,5617fc1b98f11e002700023b,0,0
563d154c651ea2001e00000a,563d154c651ea2001e00000b,0,0
564621051d0488002f00026b,564a1395617ef0002a0000cb,0,0
563d3889651ea200210000b9,563d388f651ea200180000b8,0,0
560ebdf1da5e87001c000006,560ebdf1da5e87001c000007,0,0
560e8f643605d300190000c4,56180b93abe26f0030000047,0,0
561285681c028c0019000065,5612f36bb4d993002b000018,0,1
564ba2e0857588002a0000d0,564ba38a56b15a001b000107,0,1
56169d436fd2b9002400016a,56169d586fd2b90018000119,0,1
562f733854ac73001e000030,563b507399835f00240000a6,0,1
5645f1d5de1096002a000113,564645282e25e700180000a4,0,1
5633c41d3ca28b002300003f,5633c432e8994a002a000030,0,1
5646571e2e25e700300000ee,5646571e2e25e700300000ef,0,1
561cfb9152d0550030000058,561d43cdb9507f003000010e,0,1
5642359b360a150021000205,564235cc360a1500180001ea,0,1
562e43290c39f1001e00005f,562e433184e4bf0028000065,0,1
5632324d809c650030000079,56324ad6a6eb0d0027000108,0,1
564cef66703ea2003000027e,564cef7edc68bb00180002ef,0,1
564636771d0488002100038c,56463c6b133b2a002400003d,0,1
561567dd86c88a001e000115,561569ed3b1fa80030000124,0,1
563a42f3fbfc43002c00012f,56465b6e2e25e700330000fd,0,1
562707b1de896b00180000a4,562a3a8cf30b1b0018000054,0,1
56549a74514699001d00005c,56549a90f84e51003000005f,0,1
56410b21ee35090029000157,5643577435095a003000010b,0,1
56462a24de1096002a0002c1,56462b321d04880021000315,0,1
562697df2dd3e9002a000270,562697df2dd3e9002a000271,0,1
56464ef7133b2a00240000c9,564651942e25e700230000cf,0,1
564b9f8856b15a00260000c5,564b9f91857588003000009d,0,1
5655d227cb3ed000300000b6,5655fd827750dd001e000369,0,1
564ccf16dc68bb002300027d,564ccfd0703ea2002d000192,0,1
56539d18366b1c00330001a7,56539d1b366b1c0018000187,0,1
